CreditScore,Geography,Gender,Age,Tenure,Balance,NumProducts,HasCreditCard,IsActiveMember,EstimatedSalary,churn_prob,actual_churn,decile
546,Germany,Female,58,3,106458.31,4,1,0,128881.87,0.9998730911306614,1,D10
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,0.9998124397994671,1,D10
727,Germany,Male,46,3,115248.11,4,1,0,130752.01,0.9997192179109086,1,D10
672,France,Female,53,9,169406.33,4,1,1,147311.47,0.999638763730308,1,D10
575,Germany,Male,49,7,121205.15,4,1,1,168080.53,0.9993653200735819,1,D10
611,France,Female,61,3,131583.59,4,0,1,66238.23,0.9993488485409376,1,D10
692,Germany,Male,45,6,152296.83,4,0,1,108040.86,0.9990622670729655,1,D10
773,Germany,Male,47,2,118079.47,4,1,1,143007.49,0.9989856486796426,1,D10
834,Germany,Female,57,8,112281.6,3,1,0,140225.14,0.9988675360185141,1,D10
584,Germany,Female,37,10,134171.8,4,1,1,70927.11,0.9988543443523378,1,D10
792,France,Male,50,9,0.0,4,1,1,194700.81,0.9986100864174087,1,D10
665,Germany,Female,43,2,116322.27,4,1,0,35640.12,0.9985284536828156,1,D10
568,Germany,Male,43,5,87612.64,4,1,1,107155.4,0.9984946354565818,1,D10
771,France,Female,41,10,108309.0,4,1,1,137510.41,0.9983790017734148,1,D10
642,France,Male,48,9,118317.27,4,0,0,78702.98,0.9981610004950493,1,D10
547,Germany,Male,55,4,111362.76,3,1,0,16922.28,0.998127160296457,1,D10
590,Spain,Female,51,3,154962.99,3,0,1,191932.27,0.9980322748545116,1,D10
596,Spain,Male,30,6,121345.88,4,1,0,41921.75,0.9977107318874946,1,D10
675,France,Female,61,5,62055.17,3,1,0,166305.16,0.9975423509251957,1,D10
683,Spain,Male,56,7,50911.21,3,0,0,97629.31,0.9960062191386172,1,D10
469,Germany,Female,52,8,139493.25,3,0,0,150093.32,0.9957852158123307,1,D10
565,Germany,Female,58,3,108888.24,3,0,1,135875.51,0.9954685784963533,1,D10
607,France,Female,48,4,112070.86,3,1,0,173568.3,0.9951198343384713,1,D10
351,Germany,Female,57,4,163146.46,1,1,0,169621.69,0.9940893171810958,1,D10
731,France,Female,47,1,115414.19,3,0,0,191734.67,0.9940371603117776,1,D10
847,Germany,Female,41,3,101543.51,4,1,0,16025.17,0.9938158787058441,1,D10
724,Spain,Female,41,4,142880.28,3,0,0,185541.2,0.9937613731214007,1,D10
655,Spain,Male,38,3,250898.09,3,0,1,81054.0,0.993499727927718,1,D10
