threshold,contacted,true_churners_caught,churners_missed,wasted_contacts,precision,recall,net_value
0.05,2184,504,5,1680,0.23076923076923078,0.9901768172888016,8400.0
0.06,2095,500,9,1595,0.2386634844868735,0.9823182711198428,15500.0
0.07,2013,498,11,1515,0.2473919523099851,0.9783889980353635,22800.0
0.08,1946,496,13,1450,0.25488180883864336,0.9744597249508841,28600.0
0.09,1899,495,14,1404,0.26066350710900477,0.9724950884086444,32850.0
0.1,1847,493,16,1354,0.2669193286410395,0.9685658153241651,37150.0
0.11,1803,492,17,1311,0.27287853577371046,0.9666011787819253,41100.0
0.12,1758,490,19,1268,0.2787258248009101,0.962671905697446,44700.0
0.13,1701,487,22,1214,0.2863021751910641,0.9567779960707269,49050.0
0.14,1651,484,25,1167,0.2931556632344034,0.9508840864440079,52700.0
0.15,1601,479,30,1122,0.29918800749531543,0.9410609037328095,55450.0
0.16,1544,477,32,1067,0.3089378238341969,0.93713163064833,60250.0
0.17,1503,474,35,1029,0.3153692614770459,0.931237721021611,63000.0
0.18,1457,470,39,987,0.3225806451612903,0.9233791748526523,65800.0
0.19,1408,466,43,942,0.3309659090909091,0.9155206286836935,68900.0
0.2,1373,465,44,908,0.33867443554260745,0.9135559921414538,71950.0
0.21,1328,463,46,865,0.348644578313253,0.9096267190569745,75550.0
0.22,1283,459,50,824,0.35775526110678096,0.9017681728880157,78250.0
0.23,1259,459,50,800,0.36457505957108816,0.9017681728880157,80650.0
0.24,1227,455,54,772,0.37082314588427057,0.8939096267190569,82050.0
0.25,1202,452,57,750,0.37603993344425957,0.888015717092338,83200.0
0.26,1184,450,59,734,0.38006756756756754,0.8840864440078585,84100.0
0.27,1161,447,62,714,0.3850129198966408,0.8781925343811395,85050.0
0.28,1121,445,64,676,0.39696699375557537,0.8742632612966601,88150.0
0.29,1096,444,65,652,0.4051094890510949,0.8722986247544204,90200.0
0.3,1071,441,68,630,0.4117647058823529,0.8664047151277013,91350.0
0.31,1046,440,69,606,0.42065009560229444,0.8644400785854617,93400.0
0.32,1028,437,72,591,0.42509727626459143,0.8585461689587426,93850.0
0.33,998,434,75,564,0.4348697394789579,0.8526522593320236,95500.0
0.34,971,431,78,540,0.44387229660144184,0.8467583497053045,96850.0
0.35,950,425,84,525,0.4473684210526316,0.8349705304518664,96250.0
0.36,933,421,88,512,0.4512325830653805,0.8271119842829077,96150.0
0.37,907,417,92,490,0.4597574421168688,0.8192534381139489,96950.0
0.38,893,416,93,477,0.4658454647256439,0.8172888015717092,97900.0
0.39,880,414,95,466,0.47045454545454546,0.8133595284872298,98300.0
0.4,861,413,96,448,0.4796747967479675,0.8113948919449901,99750.0
0.41,843,410,99,433,0.4863582443653618,0.8055009823182712,100200.0
0.42,830,406,103,424,0.4891566265060241,0.7976424361493124,99700.0
0.43,812,402,107,410,0.49507389162561577,0.7897838899803536,99700.0
0.44,795,397,112,398,0.49937106918238994,0.7799607072691552,99150.0
0.45,771,391,118,380,0.5071335927367056,0.768172888015717,98850.0
0.46,761,391,118,370,0.5137976346911958,0.768172888015717,99850.0
0.47,741,387,122,354,0.5222672064777328,0.7603143418467584,100050.0
0.48,728,386,123,342,0.5302197802197802,0.7583497053045186,100900.0
0.49,716,382,127,334,0.5335195530726257,0.75049115913556,100300.0
0.5,699,377,132,322,0.5393419170243204,0.7406679764243614,99750.0
0.51,691,374,135,317,0.5412445730824892,0.7347740667976425,99200.0
0.52,681,372,137,309,0.5462555066079295,0.730844793713163,99300.0
0.53,667,366,143,301,0.5487256371814093,0.7190569744597249,98000.0
0.54,648,360,149,288,0.5555555555555556,0.7072691552062869,97200.0
0.55,633,357,152,276,0.5639810426540285,0.7013752455795678,97350.0
0.56,620,352,157,268,0.567741935483871,0.6915520628683693,96400.0
0.57,602,347,162,255,0.5764119601328903,0.6817288801571709,95950.0
0.58,587,344,165,243,0.58603066439523,0.6758349705304518,96100.0
0.59,573,340,169,233,0.5933682373472949,0.6679764243614931,95700.0
0.6,551,335,174,216,0.6079854809437386,0.6581532416502947,95650.0
0.61,536,331,178,205,0.6175373134328358,0.650294695481336,95350.0
0.62,529,330,179,199,0.6238185255198487,0.6483300589390962,95600.0
0.63,510,326,183,184,0.6392156862745098,0.6404715127701375,95700.0
0.64,500,321,188,179,0.642,0.630648330058939,94450.0
0.65,494,319,190,175,0.645748987854251,0.6267190569744597,94150.0
0.66,486,317,192,169,0.6522633744855967,0.6227897838899804,94050.0
0.67,467,310,199,157,0.6638115631691649,0.6090373280943026,92800.0
0.68,453,309,200,144,0.6821192052980133,0.6070726915520629,93750.0
0.69,435,303,206,132,0.696551724137931,0.5952848722986247,92850.0
0.7,425,299,210,126,0.7035294117647058,0.587426326129666,92050.0
0.71,415,296,213,119,0.7132530120481928,0.581532416502947,91700.0
0.72,409,294,215,115,0.7188264058679706,0.5776031434184676,91400.0
0.73,396,288,221,108,0.7272727272727273,0.5658153241650294,90000.0
0.74,383,279,230,104,0.7284595300261096,0.5481335952848723,87250.0
0.75,371,275,234,96,0.7412398921832885,0.5402750491159135,86650.0
0.76,355,266,243,89,0.7492957746478873,0.5225933202357563,84200.0
0.77,340,258,251,82,0.7588235294117647,0.5068762278978389,82100.0
0.78,330,254,255,76,0.7696969696969697,0.49901768172888017,81300.0
0.79,312,248,261,64,0.7948717948717948,0.48722986247544203,80400.0
0.8,298,242,267,56,0.8120805369127517,0.47544204322200395,79100.0
0.81,282,234,275,48,0.8297872340425532,0.45972495088408644,77100.0
0.82,269,227,282,42,0.8438661710037175,0.44597249508840864,75250.0
0.83,255,218,291,37,0.8549019607843137,0.42829076620825146,72600.0
0.84,249,213,296,36,0.8554216867469879,0.41846758349705304,70950.0
0.85,236,205,304,31,0.8686440677966102,0.4027504911591356,68650.0
0.86,218,195,314,23,0.8944954128440367,0.3831041257367387,65950.0
0.87,206,188,321,18,0.912621359223301,0.3693516699410609,64000.0
0.88,194,179,330,15,0.9226804123711341,0.3516699410609037,61150.0
0.89,184,170,339,14,0.9239130434782609,0.33398821218074654,58100.0
0.9,166,154,355,12,0.927710843373494,0.3025540275049116,52700.0
0.91,154,142,367,12,0.922077922077922,0.27897838899803534,48500.0
0.92,132,122,387,10,0.9242424242424242,0.23968565815324164,41700.0
0.93,124,115,394,9,0.9274193548387096,0.22593320235756384,39350.0
0.94,112,106,403,6,0.9464285714285714,0.2082514734774067,36500.0
0.95,97,93,416,4,0.9587628865979382,0.18271119842829076,32150.0
